,id,tuit,G,L,B,T,O
0,572479257957412864,"—Bueno, pues ya pasó la euforia papá, ahora sí dime, este vestido es blanco o azul?
—Que me vale verga el color ya quítatelo pinche maricón!",1,0,0,0,0
1,1136735770650259584,"Esos de BTS se me hacen seres asexuales, eunucos o algo así todo raro.",0,0,0,0,1
2,553719632969089024,La partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,1,0,0,0,0
3,1254670164366372864,"Se te acabo tu juego maldito joto asqueroso, esta me la pagas pq me la pagas, 🤭😡",1,0,0,0,0
4,1489044604624281600,@Lunaazulada_ Será a los jotitos.??ellos prefieren las banderillas.🤣🤣🤣🤣,1,0,0,0,0
5,904977229909823616,Me regresa el acento colombiano! Maricas mal paridos,1,0,0,0,0
6,303881214190817280,@Bob_Chavez tu cola :/ yo solo respeto a las lesbianas y mujeres bisexuales •3• Jajaja los jotos que.,1,0,0,0,0
7,1514472442974150912,"@goliveros Qué pena @goliveros, de verdad qué pena no cumplir con el estereotipo del hombre homosexual elegebetero, ideologizado,  unicornio, transgenerizado quedabien, que pide perdón por ser hombre, con el que tanto empatizas, pero como dice la canción, ""no soy monedita de oro"".",1,0,0,1,0
8,562655105011286016,@jdonadus puro joto en tu foto de avatar !! Jajaja url,1,0,0,0,0
9,1477137412925149184,"las tragedias que marcaron el 2021.

-legalización del matrimonio homosexual.
-asalto al capitolio.
-protistas en cuba.
-Atlas y Cruz azul campeones.

por un 2022 lleno de bendiciones, éxitos y alegrías y por menos tragedias.",1,0,0,0,0
10,1244387278681780224,"Jefe, ese puñal es un botarate o sea, un PENDEJO. Saludos. url",1,0,0,0,0
11,1243636855775649792,"Your score : 67.101, Try again! I think you can do it well! url

Los reto pinches puñales: @samuelpi_ @markcups @santa_nero 
Saque 67, no sean tramposos y contesten que sacaron a la primera.",1,0,0,0,0
12,842424892867923968,"¡QUÉ POCA MADRE! ¡PERO EL JOTO @ManceraMiguelMX Y LA MACHORRA DE LA @CDHDF PREFIEREN DEFENDER A LOS MALDITOS DELINCUENTES!

#PenaDeMuerteYa url",1,1,0,0,0
13,480201192107020288,"Homosexual: persona que le gusta otra persona de su mismo sexo
Puto: el que lo lea 
#Mecausogracia #EHHHHHHPUTO!",1,0,0,0,0
14,388439337500561408,Típico que van a jugar gotcha y se cubren como con 10 chalecos de kevlar los muy homosexuales.,1,0,0,0,0
15,324723045853958144,@JoseRive_ @navarreted96 @ailed_merida Maricas ustedes yo no,1,0,0,0,0
16,1394803599230787584,"Es de jotitas muy corrientitas hablar y cortar palabras como ""obvi"" ""celu"" ""bendis"" o decir como locas palabras en inglés en una conversacion españurl Y si a eso le aunamos el tonito caguengue tipo mía colucci en versión url peor",1,1,0,0,0
17,1211515178791112704,PUTOS TODOOOOS,1,0,0,0,0
18,813221847940501504,"Las famosas ""lesbianas"" no llegan a ser del todo homosexuales. Siempre querrán tener algo url Just saying. ¯\_(ツ)_/¯",0,1,0,0,0
19,182161460829503488,@abraham_mel ni das nada maricon!!!,1,0,0,0,0
20,1132887231440384000,"Si la que te gusta tiene un amigo gay, automáticamente se vuelve una mamila en url",1,0,0,0,0
21,1046080920992845824,@_elan_ @OsirisMiguel Un mariquita menos :3,1,0,0,0,0
